SchoolYear,TestType,TestPopulation,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,Grade,Subject,Subgroup_1,Subgroup_2,PercentSurpassed,PercentAttained,PercentEmergingTowards
"20 - 21 School Year","MI-Access","SI","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","04","ELA","Hispanic","Male","*","*","*"
"20 - 21 School Year","MI-Access","SI","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","06","ELA","White, not of Hispanic origin","Not English Learners","*","*","*"
"20 - 21 School Year","MI-Access","FI","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","06","ELA","Male","Not English Learners","*","*","*"
"20 - 21 School Year","MI-Access","SI","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","06","ELA","White, not of Hispanic origin","English Learners","*","*","*"
"20 - 21 School Year","MI-Access","FI","63","Oakland Schools","63150","Troy School District","06939","Wass Elementary School","63","Oakland","LEA School","Elementary","City: Small","05","ELA","Black, not of Hispanic origin","Not English Learners","*","*","*"
"20 - 21 School Year","MI-Access","FI","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","05","ELA","Black, not of Hispanic origin","Male","*","*","*"
"20 - 21 School Year","MI-Access","SI","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","05","ELA","Male","Not English Learners","*","*","*"
"20 - 21 School Year","MI-Access","FI","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","07","ELA","White, not of Hispanic origin","Not English Learners","*","*","*"
"20 - 21 School Year","MI-Access","SI","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","07","ELA","Male","Not English Learners","*","*","*"
"20 - 21 School Year","MI-Access","SI","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","03","ELA","Male","English Learners","*","*","*"
"20 - 21 School Year","MI-Access","FI","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","08","ELA","Male","Not English Learners","*","*","*"
"20 - 21 School Year","MI-Access","SI","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","06","ELA","White, not of Hispanic origin","English Learners","*","*","*"
"20 - 21 School Year","MI-Access","FI","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","07","ELA","White, not of Hispanic origin","Female","*","*","*"
"20 - 21 School Year","MI-Access","FI","63","Oakland Schools","63150","Troy School District","06939","Wass Elementary School","63","Oakland","LEA School","Elementary","City: Small","05","ELA","Two or More Races","Not English Learners","*","*","*"
"20 - 21 School Year","MI-Access","SI","63","Oakland Schools","63150","Troy School District","06941","Barnard Elementary School","63","Oakland","LEA School","Elementary","City: Small","05","ELA","White, not of Hispanic origin","Male","*","*","*"
"20 - 21 School Year","MI-Access","FI","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","05","ELA","Male","Not English Learners","*","*","*"
"20 - 21 School Year","MI-Access","P","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","04","ELA","Female","Not English Learners","*","*","*"
"20 - 21 School Year","MI-Access","SI","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","04","ELA","Male","Not English Learners","*","*","*"
"20 - 21 School Year","MI-Access","SI","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","11","ELA","White, not of Hispanic origin","English Learners","*","*","*"
"20 - 21 School Year","MI-Access","SI","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","06","ELA","Male","Not English Learners","*","*","*"
"20 - 21 School Year","MI-Access","FI","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","05","ELA","Two or More Races","Not English Learners","*","*","*"
"20 - 21 School Year","MI-Access","P","63","Oakland Schools","63150","Troy School District","04227","Troy Union Elementary School","63","Oakland","LEA School","Elementary","City: Small","03","ELA","White, not of Hispanic origin","Male","*","*","*"
"20 - 21 School Year","MI-Access","FI","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","07","ELA","Male","Not English Learners","*","*","*"
